PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38793171","Skin Electrodes Based on TPU Fiber Scaffolds with Conductive Nanocomposites with Stretchability, Breathability, and Washability","Zhao Z, Yang C, Li D.","Micromachines (Basel). 2024 Apr 29;15(5):598. doi: 10.3390/mi15050598.","Zhao Z","Micromachines (Basel)","2024","2024/05/25","PMC11122800","","10.3390/mi15050598"
"40574058","Advances in Transdermal Drug Delivery Systems and Clinical Applications in Inflammatory Skin Diseases","Liu S, Deng T, Cheng H, Lu J, Wu J.","Pharmaceutics. 2025 Jun 6;17(6):746. doi: 10.3390/pharmaceutics17060746.","Liu S","Pharmaceutics","2025","2025/06/27","PMC12195946","","10.3390/pharmaceutics17060746"
"37132603","Tough and Robust Mechanically Interlocked Gel-Elastomer Hybrid Electrode for Soft Strain Gauge","Huang J, Chen A, Han S, Wu Q, Zhu J, Zhang J, Chen Y, Liu J, Guan L.","Adv Sci (Weinh). 2023 Jul;10(21):e2301116. doi: 10.1002/advs.202301116. Epub 2023 May 3.","Huang J","Adv Sci (Weinh)","2023","2023/05/03","PMC10375198","","10.1002/advs.202301116"
"36005104","Progress in Antibacterial Hydrogel Dressing","Liu J, Jiang W, Xu Q, Zheng Y.","Gels. 2022 Aug 12;8(8):503. doi: 10.3390/gels8080503.","Liu J","Gels","2022","2022/08/25","PMC9407327","","10.3390/gels8080503"
"39727738","Three-Dimensional Printing of Bioinspired Hierarchical Structures for Enhanced Fog Collection Efficiency in 3D Space via Vat Photopolymerization","Charoensook D, Nipu SMA, Girish A, He Q, Cheng S, Chapman K, Xie N, Li CX, Yang Y.","Biomimetics (Basel). 2024 Dec 3;9(12):734. doi: 10.3390/biomimetics9120734.","Charoensook D","Biomimetics (Basel)","2024","2024/12/27","PMC11673100","","10.3390/biomimetics9120734"
"5483501","Disposable protective garments","Thomas HA.","Proc R Soc Med. 1970 Oct;63(10):1020-2. doi: 10.1177/003591577006301026.","Thomas HA","Proc R Soc Med","1970","1970/10/01","PMC1811688","","10.1177/003591577006301026"
"39599204","Natural-Fiber-Reinforced Polymer Composites for Furniture Applications","Ichim M, Muresan EI, Codau E.","Polymers (Basel). 2024 Nov 6;16(22):3113. doi: 10.3390/polym16223113.","Ichim M","Polymers (Basel)","2024","2024/11/27","PMC11598584","","10.3390/polym16223113"
"39810852","Recent Advances in Asymmetric Wettability Dressings for Wound Exudate Management","Wang F, He W, Dai B, Zhang X, Wen Y.","Research (Wash D C). 2025 Jan 14;8:0591. doi: 10.34133/research.0591. eCollection 2025.","Wang F","Research (Wash D C)","2025","2025/01/15","PMC11729271","","10.34133/research.0591"
"38610251","Closing the Water Balance with a Precision Small-Scale Field Lysimeter","Lyles BF, Sion BD, Page D, Crews JB, McDonald EV, Hausner MB.","Sensors (Basel). 2024 Mar 22;24(7):2039. doi: 10.3390/s24072039.","Lyles BF","Sensors (Basel)","2024","2024/04/13","PMC11014045","","10.3390/s24072039"
"35591472","Acoustic Performance of Sound Absorbing Materials Produced from Wool of Local Mountain Sheep","Kobiela-Mendrek K, Bączek M, Broda J, Rom M, Espelien I, Klepp I.","Materials (Basel). 2022 Apr 26;15(9):3139. doi: 10.3390/ma15093139.","Kobiela-Mendrek K","Materials (Basel)","2022","2022/05/20","PMC9105389","","10.3390/ma15093139"
"36183134","Evaluating polymeric biomaterials to improve next generation wound dressing design","Hodge JG, Zamierowski DS, Robinson JL, Mellott AJ.","Biomater Res. 2022 Oct 1;26(1):50. doi: 10.1186/s40824-022-00291-5.","Hodge JG","Biomater Res","2022","2022/10/01","PMC9526981","","10.1186/s40824-022-00291-5"
"28102316","Electrolyte-Sensing Transistor Decals Enabled by Ultrathin Microbial Nanocellulose","Yuen JD, Walper SA, Melde BJ, Daniele MA, Stenger DA.","Sci Rep. 2017 Jan 19;7:40867. doi: 10.1038/srep40867.","Yuen JD","Sci Rep","2017","2017/01/20","PMC5244378","","10.1038/srep40867"
"41003061","Applications of Advanced Electrospun Nanofibrous Materials in Water Treatment","Wang A, Pan R, Miao J, Lin Y, Deng Y, Peng S, Luo X, Wu P, Zhang S, Wu Y, Xie J, Fan T.","Nanomaterials (Basel). 2025 Sep 16;15(18):1424. doi: 10.3390/nano15181424.","Wang A","Nanomaterials (Basel)","2025","2025/09/26","PMC12472259","","10.3390/nano15181424"
"34771015","Synthesis of New Modified with Rhodamine B Peptides for Antiviral Protection of Textile Materials","Todorov P, Georgieva S, Staneva D, Peneva P, Grozdanov P, Nikolova I, Grabchev I.","Molecules. 2021 Oct 31;26(21):6608. doi: 10.3390/molecules26216608.","Todorov P","Molecules","2021","2021/11/13","PMC8587962","","10.3390/molecules26216608"
"34832760","Fabrication of Planar Microelectrode Array Using Laser-Patterned ITO and SU-8","Jeong HS, Hwang S, Min KS, Jun SB.","Micromachines (Basel). 2021 Oct 31;12(11):1347. doi: 10.3390/mi12111347.","Jeong HS","Micromachines (Basel)","2021","2021/11/27","PMC8621540","","10.3390/mi12111347"
"41012480","Marine Macroalgae in Topical Formulations: Bioactive Compounds, Variability, Analytical Challenges and Skin Benefits","Bogdan C, Molnar M, Dima EI, Olteanu AA, Safta DA, Moldovan ML.","Pharmaceutics. 2025 Aug 31;17(9):1143. doi: 10.3390/pharmaceutics17091143.","Bogdan C","Pharmaceutics","2025","2025/09/27","PMC12473693","","10.3390/pharmaceutics17091143"
"39852722","Advancements in Superhydrophobic Paper-Based Materials: A Comprehensive Review of Modification Methods and Applications","Tang Y, Ban S, Xu Z, Sun J, Ning Z.","Nanomaterials (Basel). 2025 Jan 12;15(2):107. doi: 10.3390/nano15020107.","Tang Y","Nanomaterials (Basel)","2025","2025/01/24","PMC11767354","","10.3390/nano15020107"
"35923415","A plant-like battery: a biodegradable power source ecodesigned for precision agriculture","Navarro-Segarra M, Tortosa C, Ruiz-Díez C, Desmaële D, Gea T, Barrena R, Sabaté N, Esquivel JP.","Energy Environ Sci. 2022 May 30;15(7):2900-2915. doi: 10.1039/d2ee00597b. eCollection 2022 Jul 13.","Navarro-Segarra M","Energy Environ Sci","2022","2022/08/04","PMC9277620","","10.1039/d2ee00597b"
"31052179","Micron-Size White Bamboo Fibril-Based Silane Cellulose Aerogel: Fabrication and Oil Absorbent Characteristics","Nguyen DD, Vu CM, Vu HT, Choi HJ.","Materials (Basel). 2019 Apr 30;12(9):1407. doi: 10.3390/ma12091407.","Nguyen DD","Materials (Basel)","2019","2019/05/05","PMC6539521","","10.3390/ma12091407"
"35784789","Thermal management and control of wearable devices","Ju YS.","iScience. 2022 Jun 10;25(7):104587. doi: 10.1016/j.isci.2022.104587. eCollection 2022 Jul 15.","Ju YS","iScience","2022","2022/07/05","PMC9240862","","10.1016/j.isci.2022.104587"
"38633881","Biofabrication of engineered blood vessels for biomedical applications","Laowpanitchakorn P, Zeng J, Piantino M, Uchida K, Katsuyama M, Matsusaki M.","Sci Technol Adv Mater. 2024 Mar 21;25(1):2330339. doi: 10.1080/14686996.2024.2330339. eCollection 2024.","Laowpanitchakorn P","Sci Technol Adv Mater","2024","2024/04/18","PMC11022926","","10.1080/14686996.2024.2330339"
"40395759","Hydrovoltaic Power Generation Depend on Wettability at the Liquid-Solid Interface: Mechanisms, Materials, and Applications With Various Resource","Lee Y, Lee M, Lee J, Jang HW, Jang JS.","Exploration (Beijing). 2025 Feb 4;5(2):70007. doi: 10.1002/EXP.70007. eCollection 2025 Apr.","Lee Y","Exploration (Beijing)","2025","2025/05/21","PMC12087396","","10.1002/EXP.70007"
"33202958","3D Printing for Hip Implant Applications: A Review","Okolie O, Stachurek I, Kandasubramanian B, Njuguna J.","Polymers (Basel). 2020 Nov 13;12(11):2682. doi: 10.3390/polym12112682.","Okolie O","Polymers (Basel)","2020","2020/11/18","PMC7697992","","10.3390/polym12112682"
"33260984","A Review of the Use of GPEs in Zinc-Based Batteries. A Step Closer to Wearable Electronic Gadgets and Smart Textiles","Lorca S, Santos F, Fernández Romero AJ.","Polymers (Basel). 2020 Nov 27;12(12):2812. doi: 10.3390/polym12122812.","Lorca S","Polymers (Basel)","2020","2020/12/02","PMC7761133","","10.3390/polym12122812"
"39685320","Bioactive Compounds from Banana Leaf Extracts: Influence of Extraction Methodologies and Their Integration into Knitted Hemp Fabrics","Gomes JM, Mariz J, Rodrigues C, Alves AL, Moreira J, Vieira B, Silva RM, Zille A, Silva CJ.","Materials (Basel). 2024 Nov 30;17(23):5884. doi: 10.3390/ma17235884.","Gomes JM","Materials (Basel)","2024","2024/12/17","PMC11642532","","10.3390/ma17235884"
"40710678","Insights into Carbon-Based Aerogels Toward High-Performance Lithium-Sulfur Batteries: A Review of Strategies for Sulfur Incorporation Within Carbon Aerogel Frameworks","Gao Y, Liu D, Zhao Y, Yang D, Zhang L, Sun F, Wang X.","Gels. 2025 Jul 2;11(7):516. doi: 10.3390/gels11070516.","Gao Y","Gels","2025","2025/07/25","PMC12294304","","10.3390/gels11070516"
"30914654","Humidity-tolerant rate-dependent capillary viscous adhesion of bee-collected pollen fluids","Shin D, Choi WT, Lin H, Qu Z, Breedveld V, Meredith JC.","Nat Commun. 2019 Mar 26;10(1):1379. doi: 10.1038/s41467-019-09372-x.","Shin D","Nat Commun","2019","2019/03/28","PMC6435648","","10.1038/s41467-019-09372-x"
"37447704","On the Application of Microfluidic-Based Technologies in Forensics: A Review","Bazyar H.","Sensors (Basel). 2023 Jun 24;23(13):5856. doi: 10.3390/s23135856.","Bazyar H","Sensors (Basel)","2023","2023/07/14","PMC10346202","","10.3390/s23135856"
"35316932","Management of genitourinary syndrome of menopause in breast cancer survivors: An update","Lubián López DM.","World J Clin Oncol. 2022 Feb 24;13(2):71-100. doi: 10.5306/wjco.v13.i2.71.","Lubián López DM","World J Clin Oncol","2022","2022/03/23","PMC8894268","","10.5306/wjco.v13.i2.71"
"36433134","Scientific Advancements in Composite Materials for Aircraft Applications: A Review","Parveez B, Kittur MI, Badruddin IA, Kamangar S, Hussien M, Umarfarooq MA.","Polymers (Basel). 2022 Nov 18;14(22):5007. doi: 10.3390/polym14225007.","Parveez B","Polymers (Basel)","2022","2022/11/26","PMC9692500","","10.3390/polym14225007"
"40096464","Deep-Learning-Based Analysis of Electronic Skin Sensing Data","Guo Y, Sun X, Li L, Shi Y, Cheng W, Pan L.","Sensors (Basel). 2025 Mar 6;25(5):1615. doi: 10.3390/s25051615.","Guo Y","Sensors (Basel)","2025","2025/03/17","PMC11902811","","10.3390/s25051615"
"39810855","Recent Advances in Self-Powered Sensors Based on Ionic Hydrogels","Yin J, Jia P, Ren Z, Zhang Q, Lu W, Yao Q, Deng M, Zhou X, Gao Y, Liu N.","Research (Wash D C). 2025 Jan 14;8:0571. doi: 10.34133/research.0571. eCollection 2025.","Yin J","Research (Wash D C)","2025","2025/01/15","PMC11729273","","10.34133/research.0571"
"40648236","Bionic Sensors for Biometric Acquisition and Monitoring: Challenges and Opportunities","Yu H, Ma M, Zhang B, Wang A, Zhong G, Zhou Z, Liu C, Li C, Fang J, He Y, Ren D, Deng F, Hong Q, Zhao Y, Guo X.","Sensors (Basel). 2025 Jun 26;25(13):3981. doi: 10.3390/s25133981.","Yu H","Sensors (Basel)","2025","2025/07/12","PMC12252035","","10.3390/s25133981"
"38994590","Cholesterol Nanofiber Patches with Sustainable Oil Delivery Eliminate Inflammation in Atopic Skin","Sroczyk EA, Tarasiuk A, Talar M, Rutledge GC, Makaro A, Misztal Z, Wołyniak M, Berniak K, Sałaga M, Fichna J, Stachewicz U.","ACS Appl Mater Interfaces. 2024 Jul 24;16(29):37783-37794. doi: 10.1021/acsami.4c09400. Epub 2024 Jul 12.","Sroczyk EA","ACS Appl Mater Interfaces","2024","2024/07/12","PMC11284794","","10.1021/acsami.4c09400"
"39940588","Evaluation of Polymeric Micro/Nanofibrous Hybrid Scaffolds Prepared via Centrifugal Nozzleless Spinning for Tissue Engineering Applications","Beran M, Musílková J, Sedlář A, Slepička P, Veselý M, Kolská Z, Vltavský O, Molitor M, Bačáková L.","Polymers (Basel). 2025 Jan 31;17(3):386. doi: 10.3390/polym17030386.","Beran M","Polymers (Basel)","2025","2025/02/13","PMC11820018","","10.3390/polym17030386"
"37623764","A Study on Tencel/LMPET-TPU/Triclosan Laminated Membranes: Excellent Water Resistance and Antimicrobial Ability","Zhang Y, Lin JH, Cheng DH, Li X, Wang HY, Lu YH, Lou CW.","Membranes (Basel). 2023 Jul 28;13(8):703. doi: 10.3390/membranes13080703.","Zhang Y","Membranes (Basel)","2023","2023/08/25","PMC10456457","","10.3390/membranes13080703"
"35874217","Embellishing 2-D MoS(2) Nanosheets on Lotus Thread Devices for Enhanced Hydrophobicity and Antimicrobial Activity","Selvam GS, Dheivasigamani T, Prabhu A, Mani NK.","ACS Omega. 2022 Jul 6;7(28):24606-24613. doi: 10.1021/acsomega.2c02337. eCollection 2022 Jul 19.","Selvam GS","ACS Omega","2022","2022/07/25","PMC9301725","","10.1021/acsomega.2c02337"
"38624384","Leveraging Wettability Engineering to Develop Three-Layer DIY Face Masks From Low-Cost Materials","Sarkar S, Mukhopadhyay A, Sen S, Mondal S, Banerjee A, Mandal P, Ghosh R, Megaridis CM, Ganguly R.","Trans Indian Natl Acad Eng. 2020;5(2):393-398. doi: 10.1007/s41403-020-00115-9. Epub 2020 Jun 4.","Sarkar S","Trans Indian Natl Acad Eng","2020","2024/04/16","PMC7271140","","10.1007/s41403-020-00115-9"
"22729075","DNA circuits as amplifiers for the detection of nucleic acids on a paperfluidic platform","Allen PB, Arshad SA, Li B, Chen X, Ellington AD.","Lab Chip. 2012 Aug 21;12(16):2951-8. doi: 10.1039/c2lc40373k. Epub 2012 Jun 22.","Allen PB","Lab Chip","2012","2012/06/26","PMC3454488","NIHMS389063","10.1039/c2lc40373k"
"26730604","On-Demand Isolation and Manipulation of C. elegans by In Vitro Maskless Photopatterning","Oliver CR, Gourgou E, Bazopoulou D, Chronis N, Hart AJ.","PLoS One. 2016 Jan 5;11(1):e0145935. doi: 10.1371/journal.pone.0145935. eCollection 2016.","Oliver CR","PLoS One","2016","2016/01/06","PMC4701667","","10.1371/journal.pone.0145935"
"33392482","Flourishing energy harvesters for future body sensor network: from single to multiple energy sources","He T, Guo X, Lee C.","iScience. 2020 Dec 11;24(1):101934. doi: 10.1016/j.isci.2020.101934. eCollection 2021 Jan 22.","He T","iScience","2020","2021/01/04","PMC7773596","","10.1016/j.isci.2020.101934"
"40942311","Preparation of Multilayer Platforms for Advanced Wound Care Management","Sharafi AM, Pakkhesal S, Monajjemzadeh F, Alipour N, Hamidi S.","Polymers (Basel). 2025 Sep 2;17(17):2393. doi: 10.3390/polym17172393.","Sharafi AM","Polymers (Basel)","2025","2025/09/13","PMC12431120","","10.3390/polym17172393"
"40333906","Superhydrophilic Silica Coatings via a Sequential Dipping Process","Xie J, Liang A, Lin Q, Chen N, Ahmed A, Li X, Jian R, Sun L, Ding F.","Molecules. 2025 Apr 21;30(8):1857. doi: 10.3390/molecules30081857.","Xie J","Molecules","2025","2025/05/07","PMC12029371","","10.3390/molecules30081857"
"23976851","Advances in drug delivery via electrospun and electrosprayed nanomaterials","Zamani M, Prabhakaran MP, Ramakrishna S.","Int J Nanomedicine. 2013;8:2997-3017. doi: 10.2147/IJN.S43575. Epub 2013 Aug 9.","Zamani M","Int J Nanomedicine","2013","2013/08/27","PMC3746732","","10.2147/IJN.S43575"
"33257543","Fingerprint ridges allow primates to regulate grip","Yum SM, Baek IK, Hong D, Kim J, Jung K, Kim S, Eom K, Jang J, Kim S, Sattorov M, Lee MG, Kim S, Adams MJ, Park GS.","Proc Natl Acad Sci U S A. 2020 Dec 15;117(50):31665-31673. doi: 10.1073/pnas.2001055117. Epub 2020 Nov 30.","Yum SM","Proc Natl Acad Sci U S A","2020","2020/12/01","PMC7749313","","10.1073/pnas.2001055117"
"23750101","Considerations for ceramic inlays in posterior teeth: a review","Hopp CD, Land MF.","Clin Cosmet Investig Dent. 2013 Apr 18;5:21-32. doi: 10.2147/CCIDE.S42016. Print 2013.","Hopp CD","Clin Cosmet Investig Dent","2013","2013/06/11","PMC3666490","","10.2147/CCIDE.S42016"
"40852313","Preparation of Metal Core Piezoelectric Fiber Based on a Mold-Assisted Wet Process","Feng K, Kong X, Hou D.","ACS Omega. 2025 Aug 7;10(32):36003-36014. doi: 10.1021/acsomega.5c03537. eCollection 2025 Aug 19.","Feng K","ACS Omega","2025","2025/08/25","PMC12368650","","10.1021/acsomega.5c03537"
"19443039","Culturing thick brain slices: an interstitial 3D microperfusion system for enhanced viability","Rambani K, Vukasinovic J, Glezer A, Potter SM.","J Neurosci Methods. 2009 Jun 15;180(2):243-54. doi: 10.1016/j.jneumeth.2009.03.016. Epub 2009 Mar 28.","Rambani K","J Neurosci Methods","2009","2009/05/16","PMC2742628","NIHMS122533","10.1016/j.jneumeth.2009.03.016"
"39246274","A review of artificial sebum formulations, their compositions, uses and physicochemical characteristics","Rosik N, Preece JA, Fryer PJ, McRobbie I, Zhang ZJ.","Int J Cosmet Sci. 2025 Feb;47(1):168-189. doi: 10.1111/ics.13022. Epub 2024 Sep 9.","Rosik N","Int J Cosmet Sci","2025","2024/09/09","PMC11788007","","10.1111/ics.13022"
"36365490","Plasma-Initiated Grafting of Bioactive Peptide onto Nano-CuO/Tencel Membrane","Hu TL, Chen GY, Shi SC, Yang JHC.","Polymers (Basel). 2022 Oct 24;14(21):4497. doi: 10.3390/polym14214497.","Hu TL","Polymers (Basel)","2022","2022/11/11","PMC9654645","","10.3390/polym14214497"
"37228456","In-situ measurements of wall moisture in a historic building in response to the installation of an impermeable floor","Briggs K, Ball R, McCaig I.","UCL Open Environ. 2022 Nov 8;4:e046. doi: 10.14324/111.444/ucloe.000046. eCollection 2022.","Briggs K","UCL Open Environ","2022","2023/05/25","PMC10171423","","10.14324/111.444/ucloe.000046"
"38026884","A highly sensitive flexible capacitive pressure sensor with hierarchical pyramid micro-structured PDMS-based dielectric layer for health monitoring","Lv L, Liu T, Jiang T, Li J, Zhang J, Zhou Q, Dhakal R, Li X, Li Y, Yao Z.","Front Bioeng Biotechnol. 2023 Nov 9;11:1303142. doi: 10.3389/fbioe.2023.1303142. eCollection 2023.","Lv L","Front Bioeng Biotechnol","2023","2023/11/29","PMC10665575","","10.3389/fbioe.2023.1303142"
"30424307","Extrusion-Based 3D Printing of Microfluidic Devices for Chemical and Biomedical Applications: A Topical Review","Pranzo D, Larizza P, Filippini D, Percoco G.","Micromachines (Basel). 2018 Jul 27;9(8):374. doi: 10.3390/mi9080374.","Pranzo D","Micromachines (Basel)","2018","2018/11/15","PMC6187380","","10.3390/mi9080374"
"39204485","Characteristics and Models of Moisture Uptake in Fiber-Reinforced Composites: A Topical Review","Hassanpour B, Karbhari VM.","Polymers (Basel). 2024 Aug 9;16(16):2265. doi: 10.3390/polym16162265.","Hassanpour B","Polymers (Basel)","2024","2024/08/29","PMC11359223","","10.3390/polym16162265"
"39519768","Hydrophobic Modification of Cellulose Acetate and Its Application in the Field of Water Treatment: A Review","An Y, Li F, Di Y, Zhang X, Lu J, Wang L, Yan Z, Wang W, Liu M, Fei P.","Molecules. 2024 Oct 30;29(21):5127. doi: 10.3390/molecules29215127.","An Y","Molecules","2024","2024/11/09","PMC11547652","","10.3390/molecules29215127"
"39962047","Adaptative two-phase thermal circulation system for complex-shaped electronic device cooling","Xu W, Cui J, Ma Y, Hu Z, Qi Y, Li X, Zhong Y, Luo T, Chu X, Wu L, Ling W, Zhou W.","Nat Commun. 2025 Feb 17;16(1):1713. doi: 10.1038/s41467-025-56960-1.","Xu W","Nat Commun","2025","2025/02/17","PMC11832782","","10.1038/s41467-025-56960-1"
"40879005","Hydrophobic LDH-Tailored Exfoliated Graphene Sheet Energy Harvester: Harnessing Pressure-Driven Heating and Electrolysis for Advanced Real Applications","Park JY, Lee SH, Lim HR, Noh S, Oh J, Kim H, Jeong DW, Choa YH.","Small. 2025 Oct;21(41):e07492. doi: 10.1002/smll.202507492. Epub 2025 Aug 29.","Park JY","Small","2025","2025/08/29","PMC12530013","","10.1002/smll.202507492"
"40463395","From mechanism to applications: Advanced microneedles for clinical medicine","Yang Y, Sun H, Sun X, Wang Y, Xu F, Xia W, Chen L, Li M, Yang T, Qiao Y, Geng D.","Bioact Mater. 2025 May 5;51:1-45. doi: 10.1016/j.bioactmat.2025.04.025. eCollection 2025 Sep.","Yang Y","Bioact Mater","2025","2025/06/04","PMC12127590","","10.1016/j.bioactmat.2025.04.025"
"36904682","Smart Wearable Systems for Health Monitoring","Deng Z, Guo L, Chen X, Wu W.","Sensors (Basel). 2023 Feb 23;23(5):2479. doi: 10.3390/s23052479.","Deng Z","Sensors (Basel)","2023","2023/03/11","PMC10007426","","10.3390/s23052479"
"37542724","Transparent Electronics for Wearable Electronics Application","Won D, Bang J, Choi SH, Pyun KR, Jeong S, Lee Y, Ko SH.","Chem Rev. 2023 Aug 23;123(16):9982-10078. doi: 10.1021/acs.chemrev.3c00139. Epub 2023 Aug 5.","Won D","Chem Rev","2023","2023/08/05","PMC10452793","","10.1021/acs.chemrev.3c00139"
"22163570","Microfluidic systems for biosensing","Liu KK, Wu RG, Chuang YJ, Khoo HS, Huang SH, Tseng FG.","Sensors (Basel). 2010;10(7):6623-61. doi: 10.3390/s100706623. Epub 2010 Jul 9.","Liu KK","Sensors (Basel)","2010","2011/12/14","PMC3231127","","10.3390/s100706623"
"35890706","Applications of Electrospun Drug-Eluting Nanofibers in Wound Healing: Current and Future Perspectives","Akombaetwa N, Bwanga A, Makoni PA, Witika BA.","Polymers (Basel). 2022 Jul 20;14(14):2931. doi: 10.3390/polym14142931.","Akombaetwa N","Polymers (Basel)","2022","2022/07/27","PMC9324048","","10.3390/polym14142931"
"24688366","Heat and mass transfer with condensation in capillary porous bodies","Larbi S.","ScientificWorldJournal. 2014 Jan 28;2014:194617. doi: 10.1155/2014/194617. eCollection 2014.","Larbi S","ScientificWorldJournal","2014","2014/04/02","PMC3927759","","10.1155/2014/194617"
"39683874","Advancements in Solid-Liquid Nanogenerators: A Comprehensive Review and Future Prospects","Dai K, Wang Y, Li B, Li P, Wang X, Gao L.","Molecules. 2024 Dec 3;29(23):5716. doi: 10.3390/molecules29235716.","Dai K","Molecules","2024","2024/12/17","PMC11643555","","10.3390/molecules29235716"
"37241610","Polymeric and Paper-Based Lab-on-a-Chip Devices in Food Safety: A Review","Mitrogiannopoulou AM, Tselepi V, Ellinas K.","Micromachines (Basel). 2023 Apr 30;14(5):986. doi: 10.3390/mi14050986.","Mitrogiannopoulou AM","Micromachines (Basel)","2023","2023/05/27","PMC10223399","","10.3390/mi14050986"
"40808124","Fabrication and Characterization of a Novel 3D-Printable Bio-Composite from Polylactic Acid (PLA) and Ruminant-Digested Corn Stover","Wu S, Ren L, Xu J, Zhao J, Hu X, Guo M.","Polymers (Basel). 2025 Jul 29;17(15):2077. doi: 10.3390/polym17152077.","Wu S","Polymers (Basel)","2025","2025/08/14","PMC12349228","","10.3390/polym17152077"
"40308656","Designing with Printed Responsive Biomaterials: A Review","Mogas-Soldevila L, Zolotovsky K.","3D Print Addit Manuf. 2025 Apr 14;12(2):155-168. doi: 10.1089/3dp.2024.0004. eCollection 2025 Apr.","Mogas-Soldevila L","3D Print Addit Manuf","2025","2025/05/01","PMC12038318","","10.1089/3dp.2024.0004"
"34677548","Waste Reutilization in Polymeric Membrane Fabrication: A New Direction in Membranes for Separation","Goh PS, Othman MHD, Matsuura T.","Membranes (Basel). 2021 Oct 12;11(10):782. doi: 10.3390/membranes11100782.","Goh PS","Membranes (Basel)","2021","2021/10/22","PMC8541373","","10.3390/membranes11100782"
"40634496","Water-based graphene oxide inks for inkjet-printed flexible moisture energy generators","Anagnostou K, Urban M, Sotiropoulos E, Polyzoidis C, Kavalieraki K, Mouratis K, Rosati G, Merkoçi A, Rogdakis K, Kymakis E.","Sci Rep. 2025 Jul 9;15(1):24685. doi: 10.1038/s41598-025-09628-1.","Anagnostou K","Sci Rep","2025","2025/07/09","PMC12241470","","10.1038/s41598-025-09628-1"
"40426120","""Double-sided protector"" Janus hydrogels for skin and mucosal wound repair: applications, mechanisms, and prospects","Xu L, Zhang J, Luo J, Cui Y, Chen J, Zeng B, Deng Z, Shao L.","J Nanobiotechnology. 2025 May 28;23(1):387. doi: 10.1186/s12951-025-03438-3.","Xu L","J Nanobiotechnology","2025","2025/05/27","PMC12117736","","10.1186/s12951-025-03438-3"
"40863616","A Comprehensive Review on the Valorization of Bioactives from Marine Animal By-Products for Health-Promoting, Biofunctional Cosmetics","Papadopoulou SNA, Adamantidi T, Kranas D, Cholidis P, Anastasiadou C, Tsoupras A.","Mar Drugs. 2025 Jul 26;23(8):299. doi: 10.3390/md23080299.","Papadopoulou SNA","Mar Drugs","2025","2025/08/27","PMC12387386","","10.3390/md23080299"
"40317616","Unperceivable Designs of Wearable Electronics","Liu Y, De Mulatier S, Matsuhisa N.","Adv Mater. 2025 Dec;37(49):e2502727. doi: 10.1002/adma.202502727. Epub 2025 May 2.","Liu Y","Adv Mater","2025","2025/05/03","PMC12691906","","10.1002/adma.202502727"
"38421719","Just Soaping Them: The Simplest Method for Converting Metal Organic Frameworks into Superhydrophobic Materials","Evangelou DA, Pournara AD, Karagianni VI, Dimitriou C, Andreou EK, Deligiannakis Y, Armatas GS, Manos MJ.","ACS Appl Mater Interfaces. 2024 Mar 13;16(10):12672-12685. doi: 10.1021/acsami.3c19536. Epub 2024 Feb 29.","Evangelou DA","ACS Appl Mater Interfaces","2024","2024/02/29","PMC11191008","","10.1021/acsami.3c19536"
"41002833","Bioinspired Polyvinyl Alcohol-Based Foam Fabricated via Supercritical Carbon Dioxide Foaming for Atmospheric Water Harvesting","Chen Y, Guo C, Wang H, Lu J, Xie H, Wu T.","Biomimetics (Basel). 2025 Sep 8;10(9):599. doi: 10.3390/biomimetics10090599.","Chen Y","Biomimetics (Basel)","2025","2025/09/26","PMC12467779","","10.3390/biomimetics10090599"
"39803356","Electrospinning based biomaterials for biomimetic fabrication, bioactive protein delivery and wound regenerative repair","Dai X, Nie W, Shen H, Machens HG, Böker K, Taheri S, Lehmann W, Shen Y, Schilling AF.","Regen Biomater. 2024 Dec 3;12:rbae139. doi: 10.1093/rb/rbae139. eCollection 2025.","Dai X","Regen Biomater","2024","2025/01/13","PMC11723536","","10.1093/rb/rbae139"
"38541509","Environmentally Friendly Bleaching Process of the Cellulose Fibres Materials Using Ozone and Hydrogen Peroxide in the Gas Phase","Walawska A, Olak-Kucharczyk M, Kaczmarek A, Kudzin MH.","Materials (Basel). 2024 Mar 15;17(6):1355. doi: 10.3390/ma17061355.","Walawska A","Materials (Basel)","2024","2024/03/28","PMC10972073","","10.3390/ma17061355"
"32921329","Cloth Face Coverings for Use as Facemasks During the Coronavirus (SARS-CoV-2) Pandemic: What Science and Experience Have Taught Us","Roberge RJ, Roberge MR.","Disaster Med Public Health Prep. 2022 Apr;16(2):726-733. doi: 10.1017/dmp.2020.354. Epub 2020 Sep 14.","Roberge RJ","Disaster Med Public Health Prep","2022","2020/09/14","PMC7711344","","10.1017/dmp.2020.354"
"31240108","A mass-customizable dermal patch with discrete colorimetric indicators for personalized sweat rate quantification","Jain V, Ochoa M, Jiang H, Rahimi R, Ziaie B.","Microsyst Nanoeng. 2019 Jun 17;5:29. doi: 10.1038/s41378-019-0067-0. eCollection 2019.","Jain V","Microsyst Nanoeng","2019","2019/06/27","PMC6572848","","10.1038/s41378-019-0067-0"
